Year,Month,Price (USD)
2025,Julio,58.03
2025,Junio,60.52
2025,Mayo,55.06
2025,Abril,56.33
2025,Marzo,61.31
2025,Febrero,64.82
2025,Enero,67.3
2024,Diciembre,62.13
2024,Noviembre,60.83
2024,Octubre,65.33
2024,Septiembre,62.33
2024,Agosto,68.13
2024,Julio,74.51
2024,Junio,72.14
2024,Mayo,71.85
2024,Abril,77.62
2024,Marzo,73.57
2024,Febrero,69.97
2024,Enero,65.34
2023,Diciembre,64.25
2023,Noviembre,71.4
2023,Octubre,78.29
2023,Septiembre,82.73
2023,Agosto,74.65
2023,Julio,65.58
2023,Junio,58.08
2023,Mayo,61.37
2023,Abril,68.72
2023,Marzo,60.76
2023,Febrero,64.2
2023,Enero,65.11
2022,Diciembre,69.2
2022,Noviembre,75.36
2022,Octubre,80.51
2022,Septiembre,77.6
2022,Agosto,83.28
2022,Julio,87.46
2022,Junio,104.4
2022,Mayo,101.31
2022,Abril,94.7
2022,Marzo,100.38
2022,Febrero,84.66
2022,Enero,77.62
2021,Diciembre,60.28
2021,Noviembre,68.49
2021,Octubre,75.2
2021,Septiembre,64.74
2021,Agosto,61.14
2021,Julio,66.84
2021,Junio,67.29
2021,Mayo,61.52
2021,Abril,57.24
2021,Marzo,58.72
2021,Febrero,55.61
2021,Enero,48.6
